id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute_estimee,indicateur_retour,profit_net_estime,mois,nombre_commandes_par_client,valeur_vie_client
CMD100075,2025-10-12,C1135,Dakar,Mode,Produit_Mode_43,38.11,2,0.05,4.77,Paiement à la livraison,Google Ads,5.69,Livrée,72.40899999999999,32.58405,0,22.124049999999997,2025-10,4,1523.9499999999998
CMD100076,2025-10-06,C1848,Dakar,Mode,Produit_Mode_26,17.46,3,0.09,6.64,Virement,Instagram Ads,9.98,Livrée,47.665800000000004,21.449610000000003,0,4.829610000000002,2025-10,2,86.09580000000001
CMD100077,2025-11-18,C0622,Kinshasa,Beauté,Produit_Beauté_38,22.91,1,0.1,3.48,Paiement à la livraison,Email,1.34,Livrée,20.619,10.3095,0,5.4895,2025-11,1,20.619
CMD100078,2025-12-03,C0952,Abidjan,Mode,Produit_Mode_33,19.56,3,0.17,4.35,Mobile Money,Instagram Ads,11.25,Livrée,48.70439999999999,21.91698,0,6.316980000000001,2025-12,2,139.11919999999998
CMD100079,2025-10-30,C1965,Douala,Électronique,Produit_Beauté_19,375.34000000000003,2,0.04,9.57,Carte,Email,0.73,Livrée,720.6528000000001,144.13056000000003,0,133.83056000000005,2025-10,4,1663.208
CMD100080,2025-11-09,C1268,Kinshasa,Mode,Produit_Mode_44,23.34,3,0.26,3.57,Mobile Money,Influenceur,8.06,Livrée,51.8148,23.31666,0,11.686659999999998,2025-11,1,51.8148
CMD100081,2025-09-18,C0101,Douala,Mode,Produit_Mode_40,66.28,1,0.09,7.78,Paiement à la livraison,Google Ads,3.5,Retournée,60.314800000000005,27.14166,1,-11.280000000000001,2025-09,18,3839.1215
CMD100082,2025-07-19,C0322,Cotonou,Maison,Produit_Maison_32,185.86,1,0.03,2.98,Paiement à la livraison,Email,1.45,Livrée,180.2842,63.09947,0,58.66947,2025-07,19,3199.4
CMD100083,2025-10-11,C0335,Dakar,Maison,Produit_Maison_50,79.72,2,0.08,4.14,Carte,Influenceur,13.44,Livrée,146.6848,51.339679999999994,0,33.759679999999996,2025-10,11,2542.6812
CMD100084,2025-10-17,C0356,Abidjan,Mode,Produit_Mode_36,8.77,3,0.24,8.4,Carte,Influenceur,18.31,Livrée,19.9956,8.99802,0,-17.711979999999997,2025-10,20,6551.0339
CMD100085,2025-09-02,C0248,Kinshasa,Mode,Produit_Mode_43,65.45,2,0.22,3.06,Paiement à la livraison,Google Ads,6.23,Livrée,102.102,45.9459,0,36.6559,2025-09,18,6660.048
CMD100086,2025-11-13,C1219,Dakar,Électronique,Produit_Maison_40,158.01,1,0.05,2.85,Paiement à la livraison,Google Ads,5.49,Livrée,150.1095,30.021900000000002,0,21.6819,2025-11,2,178.8915
CMD100087,2025-11-07,C0280,Abidjan,Électronique,Produit_Électronique_48,464.75,3,0.06,5.35,Mobile Money,Influenceur,18.63,Livrée,1310.595,262.119,0,238.139,2025-11,21,5386.5334
CMD100088,2025-10-30,C0384,Douala,Mode,Produit_Mode_41,40.15,3,0.15,6.53,Paiement à la livraison,Instagram Ads,7.89,Livrée,102.3825,46.072125,0,31.652124999999998,2025-10,18,6145.8629
CMD100089,2025-08-31,C0039,Dakar,Mode,Produit_Mode_18,42.98,2,0.17,8.77,Mobile Money,Instagram Ads,7.7,Livrée,71.34679999999999,32.10605999999999,0,15.636059999999993,2025-08,18,4123.5878999999995
CMD100090,2025-09-24,C0276,Kinshasa,Maison,Produit_Maison_15,100.8,1,0.23,8.55,Mobile Money,Instagram Ads,9.95,Livrée,77.616,27.165599999999998,0,8.665599999999998,2025-09,16,4738.713299999999
CMD100091,2025-10-07,C1446,Dakar,Beauté,Produit_Beauté_27,43.39,2,0.08,7.52,Paiement à la livraison,Instagram Ads,8.15,Livrée,79.83760000000001,39.918800000000005,0,24.24880000000001,2025-10,8,3501.003
CMD100092,2025-09-23,C0212,Kinshasa,Mode,Produit_Mode_25,59.27,1,0.26,9.55,Paiement à la livraison,Google Ads,4.11,Retournée,43.8598,19.73691,1,-13.66,2025-09,20,6087.59
CMD100093,2025-11-27,C0040,Dakar,Électronique,Produit_Électronique_31,482.68,3,0.06,3.54,Paiement à la livraison,Influenceur,15.7,Livrée,1361.1576,272.23152,0,252.99151999999998,2025-11,19,5048.1202
CMD100094,2025-07-02,C0611,Kinshasa,Électronique,Produit_Électronique_35,478.83,3,0.1,5.85,Paiement à la livraison,Email,1.48,Livrée,1292.8410000000001,258.56820000000005,0,251.23820000000006,2025-07,3,1415.6013
CMD100095,2025-11-17,C1838,Douala,Maison,Produit_Maison_32,119.76,2,0.01,7.01,Paiement à la livraison,Google Ads,6.95,Livrée,237.12480000000002,82.99368,0,69.03367999999999,2025-11,4,436.5384
CMD100096,2025-07-08,C0342,Dakar,Maison,Produit_Maison_47,123.29,3,0.05,6.65,Paiement à la livraison,Instagram Ads,5.53,Livrée,351.37649999999996,122.98177499999998,0,110.80177499999998,2025-07,8,3080.7073
CMD100097,2025-08-12,C1883,Abidjan,Électronique,Produit_Électronique_26,527.86,2,0.04,4.3,Carte,Email,0.86,Retournée,1013.4911999999999,202.69824,1,-5.160000000000025,2025-08,1,1013.4911999999999
CMD100098,2025-11-29,C0013,Kinshasa,Mode,Produit_Mode_9,39.48,1,0.08,9.86,Paiement à la livraison,Instagram Ads,14.56,Livrée,36.3216,16.34472,0,-8.075280000000001,2025-11,13,2969.3896
CMD100099,2025-10-27,C0133,Dakar,Maison,Produit_Maison_30,129.37,2,0.02,6.86,Mobile Money,Google Ads,7.71,Livrée,253.5652,88.74781999999999,0,74.17782,2025-10,16,3995.5735999999997
CMD100100,2025-09-22,C0194,Kinshasa,Mode,Produit_Mode_17,32.24,1,0.26,6.78,Paiement à la livraison,Influenceur,12.29,Livrée,23.8576,10.73592,0,-8.33408,2025-09,16,5790.4078
CMD100101,2025-07-21,C0383,Kinshasa,Mode,Produit_Mode_15,31.02,3,0.22,6.3,Virement,Google Ads,4.12,Livrée,72.58680000000001,32.664060000000006,0,22.244060000000005,2025-07,15,4123.2789999999995
CMD100102,2025-12-14,C0333,Douala,Beauté,Produit_Beauté_16,20.1,1,0.26,4.25,Carte,Instagram Ads,5.35,Annulée,0.0,0.0,0,-9.6,2025-12,15,4237.3768
CMD100104,2025-12-19,C0111,Douala,Mode,Produit_Mode_11,58.08,2,0.27,3.26,Virement,Email,1.28,Livrée,84.79679999999999,38.158559999999994,0,33.618559999999995,2025-12,12,4413.893599999999
CMD100105,2025-12-03,C1531,Abidjan,Électronique,Produit_Électronique_20,441.18,1,0.07,8.97,Mobile Money,Google Ads,3.79,Livrée,410.2974,82.05948000000001,0,69.29948,2025-12,2,658.4706
CMD100106,2025-07-28,C0159,Lomé,Électronique,Produit_Électronique_26,355.56,2,0.0,2.67,Paiement à la livraison,Influenceur,7.09,Livrée,711.12,142.22400000000002,0,132.46400000000003,2025-07,20,5697.3041
CMD100107,2025-12-31,C0303,Douala,Mode,Produit_Mode_45,27.5,3,0.05,5.46,Carte,Instagram Ads,13.19,Livrée,78.375,35.268750000000004,0,16.618750000000006,2025-12,16,4679.9627
CMD100108,2025-09-16,C1229,Abidjan,Beauté,Produit_Beauté_23,29.46,2,0.07,6.66,Carte,Influenceur,5.08,Livrée,54.7956,27.3978,0,15.6578,2025-09,2,1025.778
CMD100109,2025-11-14,C0189,Dakar,Mode,Produit_Mode_1,29.44,3,0.3,5.07,Virement,Influenceur,13.51,Retournée,61.824,27.8208,1,-18.58,2025-11,18,3293.766
CMD100110,2025-10-16,C0216,Lomé,Électronique,Produit_Électronique_41,536.39,3,0.04,3.31,Virement,Google Ads,5.13,Livrée,1544.8032,308.96064,0,300.52064,2025-10,14,4247.9003
CMD100111,2025-10-26,C0891,Dakar,Beauté,Produit_Beauté_40,25.005000000000003,2,0.02,7.85,Virement,Google Ads,7.82,Livrée,49.009800000000006,24.504900000000003,0,8.834900000000005,2025-10,8,1444.1354000000001
CMD100112,2025-11-15,C0952,Cotonou,Maison,Produit_Maison_21,46.13,2,0.02,8.91,Virement,Influenceur,9.9,Livrée,90.4148,31.645179999999996,0,12.835179999999996,2025-11,2,139.11919999999998
CMD100113,2025-09-01,C0177,Kinshasa,Mode,Produit_Mode_16,31.5,2,0.07,8.37,Paiement à la livraison,Instagram Ads,6.54,Livrée,58.589999999999996,26.365499999999997,0,11.4555,2025-09,14,2170.8271
CMD100114,2025-10-27,C0342,Libreville,Électronique,Produit_Électronique_32,596.57,1,0.17,4.48,Carte,Instagram Ads,5.64,Livrée,495.1531,99.03062,0,88.91062,2025-10,8,3080.7073
CMD100115,2025-09-22,C0108,Kinshasa,Mode,Produit_Mode_22,62.52,2,0.15,9.62,Virement,Google Ads,6.28,Livrée,106.284,47.8278,0,31.927800000000005,2025-09,16,5010.4933
CMD100116,2025-09-10,C1436,Dakar,Électronique,Produit_Maison_34,95.18,1,0.0,9.53,Carte,Email,0.82,Livrée,95.18,19.036,0,8.686000000000002,2025-09,4,485.0108
CMD100117,2025-08-18,C0368,Douala,Électronique,Produit_Électronique_45,452.41,1,0.06,7.52,Mobile Money,Instagram Ads,5.79,Livrée,425.2654,85.05308000000001,0,71.74308,2025-08,26,5457.9767
CMD100118,2025-10-30,C1005,Kinshasa,Beauté,Produit_Beauté_6,25.005000000000003,2,0.06,7.0,Carte,Email,0.95,Livrée,47.0094,23.5047,0,15.5547,2025-10,3,2309.6274000000003
CMD100119,2025-09-14,C0354,Dakar,Beauté,Produit_Beauté_31,32.4,3,0.27,6.21,Virement,Instagram Ads,10.48,Livrée,70.95599999999999,35.477999999999994,0,18.787999999999993,2025-09,16,5549.97305
CMD100120,2025-11-19,C0217,Kinshasa,Maison,Produit_Maison_23,78.74,3,0.0,6.34,Virement,Email,0.53,Livrée,236.21999999999997,82.67699999999998,0,75.80699999999997,2025-11,17,2204.0146
CMD100121,2025-12-27,C0156,Kinshasa,Mode,Produit_Mode_47,32.06,3,0.07,7.82,Carte,Google Ads,5.31,Livrée,89.4474,40.25133,0,27.121330000000004,2025-12,23,7029.902
CMD100122,2025-08-19,C0380,Abidjan,Beauté,Produit_Beauté_13,15.19,2,0.06,9.21,Mobile Money,Influenceur,17.97,Livrée,28.557199999999998,14.278599999999999,0,-12.9014,2025-08,17,2582.6647000000003
CMD100123,2025-08-25,C0566,Kinshasa,Mode,Produit_Mode_7,18.03,3,0.1,8.21,Virement,Instagram Ads,8.84,Livrée,48.681000000000004,21.906450000000003,0,4.856450000000002,2025-08,5,681.8586
CMD100124,2025-08-19,C0184,Dakar,Électronique,Produit_Mode_46,19.22,2,0.26,6.12,Carte,Instagram Ads,9.92,Livrée,28.4456,5.68912,0,-10.35088,2025-08,20,8476.5419
CMD100125,2025-11-14,C0023,Douala,Mode,Produit_Mode_41,61.66,2,0.13,6.79,Mobile Money,Google Ads,3.05,Livrée,107.2884,48.27978,0,38.439780000000006,2025-11,12,1585.7729
CMD100126,2025-11-03,C0006,Kinshasa,Mode,Produit_Mode_31,46.5,2,0.18,6.94,Paiement à la livraison,Instagram Ads,8.37,Livrée,76.26,34.317,0,19.006999999999998,2025-11,17,2348.4710999999998
CMD100127,2025-10-21,C0026,Kinshasa,Beauté,Produit_Beauté_8,22.6,1,0.04,8.91,Paiement à la livraison,Google Ads,6.53,Livrée,21.696,10.848,0,-4.592,2025-10,23,4503.9286
CMD100128,2025-07-17,C0037,Douala,Mode,Produit_Mode_10,35.18,2,0.08,2.33,Mobile Money,Instagram Ads,9.52,Livrée,64.7312,29.12904,0,17.27904,2025-07,16,3098.5544999999997
CMD100129,2025-11-22,C0174,Brazzaville,Électronique,Produit_Électronique_36,345.88,3,0.29,5.91,Carte,Instagram Ads,11.39,Livrée,736.7243999999998,147.34487999999996,0,130.04487999999998,2025-11,20,5362.69
CMD100130,2025-10-15,C1619,Kinshasa,Beauté,Produit_Beauté_29,17.49,3,0.1,4.04,Paiement à la livraison,Instagram Ads,12.31,Livrée,47.223,23.6115,0,7.2615,2025-10,4,1094.9758000000002
CMD100132,2025-12-06,C0378,Dakar,Beauté,Produit_Beauté_41,30.11,1,0.06,8.93,Mobile Money,Google Ads,6.02,Livrée,28.303399999999996,14.151699999999998,0,-0.7983000000000011,2025-12,18,4376.257
CMD100133,2025-08-24,C0041,Lomé,Maison,Produit_Maison_36,74.28,1,0.07,8.46,Mobile Money,Email,1.11,Livrée,69.0804,24.17814,0,14.608139999999999,2025-08,15,3571.7734
CMD100134,2025-07-20,C0209,Lomé,Beauté,Produit_Beauté_19,35.32,2,0.1,5.11,Paiement à la livraison,Email,1.05,Livrée,63.576,31.788,0,25.628,2025-07,13,4203.8433
CMD100135,2025-07-09,C0361,Kinshasa,Mode,Produit_Mode_5,36.08,1,0.05,6.0,Paiement à la livraison,Email,0.75,Livrée,34.275999999999996,15.424199999999999,0,8.674199999999999,2025-07,11,3186.2242
